,name,ingredients,ingredients_pre,url,serve
1991,계란말이김밥,"계란4개,청양고추2개,홍피망반 개,노란피망반 개,깨2T,소금3T,참기름3T,김밥 김2장,밥2공기,후추2T,올리브오일2T","['계란', '홍피망', '김밥 김', '올리브오일', '소금', '깨', '후추', '참기름', '청양고추', '피망', '밥']",https://www.haemukja.com/recipes/3746,2
1992,바나나쉐이크,"바나나2개,우유1 1/2컵~2컵,설탕적당량","['우유', '설탕', '바나나']",https://www.haemukja.com/recipes/3750,11
1993,새송이버섯 조림,"새송이버섯3개,양파약간,대파약간,간장3큰술,올리고당2큰술,미림2큰술,다진마늘1큰술","['올리고당', '새송이버섯', '간장', '대파', '마늘', '양파', '미림']",https://www.haemukja.com/recipes/3756,1
1994,프랑스알리고,"감자3 개,피자치즈2 줌,휘핑크림150 ml,후추약간","['휘핑크림', '피자치즈', '감자', '후추']",https://www.haemukja.com/recipes/3747,2
1995,쉑쉑버거,"다진소고기400g,슬라이스치즈4장,토마토2개,꽃상추8장,햄버거빵4개,버터3T,올리브오일3T,소금3T,후추3T,다진피클1T,마요네즈4T,케찹4T,다진마늘1t,고춧가루1t,홀머스타드1t","['햄버거빵', '마요네즈', '소고기', '버터', '후추', '홀머스타드', '소금', '토마토', '피클', '고춧가루', '꽃상추', '마늘', '올리브오일', '케찹', '슬라이스치즈']",https://www.haemukja.com/recipes/3748,4
1996,가츠동,"돈까스1개,달걀2개,밥1공기,양파반 개,쯔유 또는 가쓰오장국3T,쑥갓1줄기","['양파', '쑥갓', '쯔유', '달걀', '돈까스', '밥']",https://www.haemukja.com/recipes/3743,1
1997,고구마 베이컨 프리타타,"고구마1/2개,베이컨2장,양파1/8개,브로콜리10g,달걀2개,옥수수콘1큰술,우유1/2컵,머스터드1큰술,설탕약간,파슬리약간","['옥수수콘', '머스터드', '파슬리', '고구마', '브로콜리', '달걀', '베이컨', '양파', '우유', '설탕']",https://www.haemukja.com/recipes/3738,2
1998,간장물갈비,"물6 컵,간장1.5 컵,올리고당0.5 컵,설탕0.5 컵,생강가루약간,양파2 개,다진 마늘2 큰술,참기름2 큰술,후추가루약간,맛술1 컵,소주0.5 컵,대파2 개,사과반 개,통후추10 알,돼지뒷다리살1 근,사리용 당면약간,깻 잎5 장,통깨약간,콩나물200 g","['사과', '돼지뒷다리살', '올리고당', '간장', '생강가루', '사리용 당면', '소주', '대파', '맛술', '깻 잎', '후추가루', '마늘', '참기름', '양파', '통깨', '콩나물', '설탕', '통후추']",https://www.haemukja.com/recipes/3742,3
1999, 궁중 떡볶이,"쌀떡200g,우민찌30g,느타리 버섯10g,청피망1/4개,양파1/8개,마늘한개,홍고추1/4개,참기름약간,간장두큰술,설탕한큰술,후추약간,물반컵","['간장', '홍고추', '우민찌', '느타리 버섯', '청피망', '물반컵', '마늘한개', '쌀떡', '후추', '참기름', '양파', '설탕']",https://www.haemukja.com/recipes/3741,1
2000,베이컨덮밥,"베이컨5줄,팽이버섯1/5봉지,양파1/2개,밥1공기,식용유적당량,소금약간,후추약간,쯔유2큰술","['소금', '쯔유', '팽이버섯', '후추', '베이컨', '양파', '식용유', '밥']",https://www.haemukja.com/recipes/3751,1
2001,만두강정,"만두6~8개,고추장1 1/2큰술,설탕1작은술,물엿1~2큰술,참기름1/2큰술,다진마늘1/2작은술,땅콩분태 혹은 아몬드슬라이스약간","['땅콩분태 혹은 아몬드슬라이스', '물엿', '만두', '고추장', '마늘', '참기름', '설탕']",https://www.haemukja.com/recipes/3752,2
2002,소떡꼬치,"떡볶이떡한줌,소세지한줌,고추장2큰술,케찹4큰술,올리고당6큰술","['올리고당', '소세지', '고추장', '케찹', '떡볶이떡']",https://www.haemukja.com/recipes/3754,1
2003,연두부크림치즈딥,"크림치즈200 g,연두부100 g,마요네즈2 큰술,소금2 꼬집,설탕1 큰술,꿀 혹은 올리고당1.5 큰술,후추약간","['마요네즈', '후추', '소금', '크림치즈', '연두부', '설탕', '꿀 혹은 올리고당']",https://www.haemukja.com/recipes/3745,2
2004,요거트아이스홍시,"홍시1개,플레인요거트1컵,레몬즙1/2큰술,꿀1/2큰술","['홍시', '플레인요거트', '꿀', '레몬즙']",https://www.haemukja.com/recipes/3736,2
2005,꿀고구마 찹쌀전,"흙애서 꿀고구마1개,찹쌀가루적당량,올리브유약간,꿀2~3스푼","['올리브유', '찹쌀가루', '꿀', '흙애서 꿀고구마']",https://www.haemukja.com/recipes/3737,1
2006,불고기스파게티,"마트양념불고기한팩,양송이버섯두개,팽이버섯1/3팩,쪽파한뿌리,스파게티면100g,물1L","['쪽파한뿌리', '팽이버섯', '스파게티면', '양송이버섯두개', '마트양념불고기한팩']",https://www.haemukja.com/recipes/3734,1
2007,새우볶음밥,"백미밥 한공기약210g,냉동손질새우(작은것)100g,쪽파2뿌리","['백미밥 한공기약', '쪽파', '새우']",https://www.haemukja.com/recipes/3732,1
2008,메밀막국수,"메밀국수면120g,달걀1개,무쌈3장,오이1/3개,시판냉면육수100mL","['오이', '달걀', '무쌈', '메밀국수면', '냉면육수']",https://www.haemukja.com/recipes/3735,1
2009,오징어김치전,"김치100g,김칫국물50g,부침가루반컵","['김치', '김칫국물', '부침가루반컵']",https://www.haemukja.com/recipes/3733,1
2010,버터갈릭쉬림프,"칵테일 새우 또는 대하20마리,레몬반 개,버터3T,파슬리2T,다진마늘3T,올리브오일2T,밀가루1t,미림1t,소금1t,후추1t,칠리소스1T","['레몬', '파슬리', '버터', '후추', '소금', '밀가루', '칠리소스', '마늘', '칵테일 새우', '올리브오일', '미림']",https://www.haemukja.com/recipes/3721,2
2011,규카츠,"소고기 스테이크용1팩,밀가루2T,빵가루4T,소금2t,후추2t,녹말물4T,고추냉이1t,식용유2컵","['고추냉이', '빵가루', '소고기 스테이크용', '소금', '밀가루', '후추', '식용유', '녹말물']",https://www.haemukja.com/recipes/3722,2
2012,어묵탕,"양파1개,대파반개,무반개,바지락10개,다진마늘1T,모둠어묵1봉지,표고버섯4개,청양고추2개,쑥갓1봉지,간장1컵,멸치다시다1T,소금1t,물2L","['간장', '모둠어묵', '표고버섯', '멸치다시다', '대파', '쑥갓', '소금', '바지락', '마늘', '양파', '청양고추', '무']",https://www.haemukja.com/recipes/3725,4
