,0
918,감초
919,붕장어
920,영지버섯
921,은행
922,파인애플
923,참깨
924,통삼겹살
925,세발나물
926,고등어
927,애느타리버섯
928,오징어
929,화분
930,날치알
931,물밤
932,대합
933,토란잎
934,완두
935,취
936,비지
937,영귤
938,크루아상
939,갓
940,피쉬소스
941,마테
942,간생강
943,소라
944,칼국수
945,박력분
946,훈제
947,지방
948,참당귀
949,크레송
950,메기
951,꽃게
952,무순
953,체다치즈
954,적양파
955,푸아그라
956,튀김유
957,지칭개
958,계핏가루
959,백년초가루
960,마늘
961,매실식초
962,국간장
963,오일
964,엄나무
965,도다리
966,올리브유
967,파드득나물
968,쇼트닝
969,화이트발사믹식초
970,황칠나무
971,베이킹소다
972,바나나식초
973,아위
974,삼각살
975,노른자
976,매실원액
977,칵테일
978,제비꽃
979,마론
980,개조개
981,곱창
982,순채
983,배식초
984,박대
985,베이비채소
986,간장
987,청양고춧가루
988,흑태
989,김밥용김
990,셀러리
991,김밥김
992,수박
993,파인애플식초
994,유자씨
995,비엔나
996,밤고구마
997,맛조개
998,한련
999,학꽁치
1000,고추
1001,국수
1002,브로컬리
1003,상추잎
1004,아마란스
1005,파뿌리
1006,에담
1007,가다랑어
1008,꾸리살
1009,배
1010,구기자
1011,무
1012,표고
1013,마카다미아오일
1014,냉면육수
1015,울금
1016,미꾸라지
1017,인스턴드라이이스트
1018,흑설탕
1019,블루베리
1020,월계수잎
1021,메주콩
1022,치킨파우더
1023,낙지
1024,클로렐라
1025,복령
1026,청홍고추
1027,칵테일새우
1028,쌈채소
1029,수리취
1030,적양배추
1031,감식초
1032,면수
1033,와인
1034,등갈비
1035,조림간장
1036,콩잎
1037,발사믹식초
1038,퍼치
1039,된장
1040,해바라기씨
1041,물엿
1042,건조감자
1043,마스카포네 치즈
1044,라면사리
1045,라디치오
1046,청매
1047,대파
1048,오레가노
1049,양배추
1050,황돔
1051,크랜베리
1052,병풀잎
1053,절구버섯
1054,허브가루
1055,양송이버섯
1056,설깃머리살
1057,녹말가루
1058,참치액
1059,캐모마일
1060,후추가루
1061,다시마
1062,홍파프리카
1063,다시물
1064,새싹
1065,눈다랑어
1066,클로브
1067,쌀가루
1068,능이버섯
1069,리큐르
1070,식빵
1071,소송채
1072,죽순
1073,지황
1074,허니머스터드
1075,서대
1076,묵은지
1077,테프
1078,계란흰자
1079,시사모
1080,달개비
1081,식용유
1082,연근
1083,깨
1084,판젤라틴
1085,레몬즙
1086,루꼴라
1087,코코넛
1088,시금치
1089,건두부
1090,무가당
1091,곰취
1092,질경이
1093,쌀뜬물
1094,단호박
1095,롤라로사
1096,대추씨
1097,김
1098,참외
1099,새우
1100,노니
1101,바질페스토
1102,블랙올리브
1103,다래순
1104,탈지분유
1105,호밀가루
1106,초콜릿
1107,메이스
1108,표고버섯
1109,마지팬
1110,죽염
1111,패션후르츠
1112,적채
1113,애플민트
1114,스테비아잎
1115,치아씨
1116,멍게
1117,강낭콩
1118,시나몬가루
1119,통깨
1120,족발
1121,새우젓
1122,머스타드소스
1123,올방개묵
1124,아귀
1125,서리태
1126,북어
1127,우리밀
1128,볶은호두
1129,양파즙
1130,쌀밥
1131,불고기용
1132,꽃사과
1133,맛소금
1134,아니스
1135,준치
1136,데리야끼소스
1137,스트링빈스
1138,밤
1139,옥수수수염
1140,로즈마리
1141,칼라만시
1142,청량고추
1143,아이스크림
1144,피칸
1145,꼬막
1146,샤프란
1147,잠두
1148,밤콩
1149,기장
1150,금귤
1151,동죽
1152,골뱅이
1153,적겨자
1154,찬밥
1155,고르곤졸라
1156,인스턴트드라이이스트
1157,양파
1158,새우가루
1159,로메인
1160,닭다리살
1161,바닐라익스트랙
1162,틸라피아
1163,송화
1164,코코아가루
1165,헛개
1166,오미자식초
1167,고비
1168,제조
