,0
692,사탕수수
693,슬라이스아몬드
694,조림간장
695,울금
696,생강청
697,홍어
698,벌꿀
699,집된장
700,김장김치
701,집간장
702,파르메산
703,찹쌀풀
704,과메기
705,북어채
706,당귀
707,홍삼
708,엄나무
709,조미료
710,딜
711,대합
712,코코넛오일
713,상추잎
714,들깨
715,청어
716,대두
717,캐슈
718,다시물
719,잔파
720,통삼겹살
721,밀가루박력분
722,청양초
723,스테비아
724,검정깨
725,미향
726,아몬드파우더
727,살치살
728,식용류
729,백후추
730,해바라기유
731,흰설탕
732,상치
733,어간장
734,박력쌀가루
735,우리밀
736,꽃새우
737,가는소금
738,소고기다시다
739,굴비
740,보리새우
741,애느타리버섯
742,소라
743,크루아상
744,톳
745,살구
746,유자
747,카이엔페퍼
748,오이지
749,완두
750,만능간장
751,흑미
752,죽염
753,양상추잎
754,LA갈비
755,고구마순
756,호밀가루
757,총각무
758,감식초
759,올방개묵
760,적포도주
761,돼지감자
762,북어포
763,흑초
764,열빙어
765,인스턴드라이이스트
766,애플망고
767,우무
768,천연조미료
769,중하
770,건두부
771,곰피
772,홍당무
773,레몬그라스
774,고추씨
775,흰다리새우
776,물미역
777,호박잎
778,오디
779,뱅어
780,한라봉
781,해바라기씨유
782,양파청
783,정향
784,천연조미료육수
785,노각
786,라디치오
787,산초
788,백선
789,민어
790,킹크랩
791,오크라
792,할라페뇨
793,백태
794,갓
795,엿기름
796,양파가루
797,서대
798,황기
799,동죽
800,차조
801,소꼬리
802,간고등어
803,대추씨
804,유지
805,육포
806,겨자잎
807,프로슈토
808,박대
809,피조개
810,머위
811,다시마가루
812,검정콩
813,백포도주
814,양미리
815,금귤
816,석이버섯
817,야콘
818,도루묵
819,순무
820,해삼
821,파파야
822,상황버섯
823,파인애플식초
824,메기
825,방어
826,기장
827,개복숭아
828,전어
829,아카시아
830,매실식초
831,유채유
832,모자반
833,도다리
834,새조개
835,노가리
836,선지
837,콩잎
838,쇼트닝
839,재첩
840,수수
841,칡
842,연잎
843,헛개
844,고들빼기
845,옥돔
846,능이버섯
847,씀바귀
848,흰콩
849,박고지
850,마카분말
851,청각
852,원추리
853,농어
854,우뭇가사리
855,다슬기
856,다래
857,메주
858,백지
859,성게
860,흰강낭콩
861,래디시
862,미꾸라지
863,스위티
864,노루궁뎅이버섯
865,패션후르츠
866,홍국
867,피씨
868,히비스커스
869,산마
870,아오리사과
871,그라나파다노
